ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
13265,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.31515,-99.24517,1,Postes_C5
13266,EX HACIENDA DE GUADALUPE CHIMALISTAC,ÁLVARO OBREGÓN,19.34990,-99.18541,1,Postes_C5
13267,EL TORO,LA MAGDALENA CONTRERAS,19.31310,-99.24554,1,Postes_C5
13268,EL TANQUE,LA MAGDALENA CONTRERAS,19.32518,-99.25281,1,Postes_C5
13269,SAN BARTOLO AMEYALCO,LA MAGDALENA CONTRERAS,19.32642,-99.24724,1,Postes_C5
13270,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.31791,-99.25938,1,Postes_C5
13271,EL TORO,LA MAGDALENA CONTRERAS,19.31153,-99.24468,1,Postes_C5
13272,EL ROSAL,LA MAGDALENA CONTRERAS,19.30945,-99.24889,1,Postes_C5
13273,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.31334,-99.22787,1,Postes_C5
13274,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.31335,-99.22468,1,Postes_C5
13275,SAN JERONIMO ACULCO,LA MAGDALENA CONTRERAS,19.31568,-99.22379,1,Postes_C5
13276,LA GUADALUPE,LA MAGDALENA CONTRERAS,19.30735,-99.23102,1,Postes_C5
13277,SAN FRANCISCO 2416,LA MAGDALENA CONTRERAS,19.31099,-99.23071,1,Postes_C5
13278,SAN FRANCISCO 2416,LA MAGDALENA CONTRERAS,19.31240,-99.22893,1,Postes_C5
13279,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.31502,-99.22306,1,Postes_C5
13280,SANTA TERESA 2529,LA MAGDALENA CONTRERAS,19.31259,-99.22550,1,Postes_C5
13281,HUAYATLA,LA MAGDALENA CONTRERAS,19.30934,-99.26090,1,Postes_C5
13282,LA CARBONERA,LA MAGDALENA CONTRERAS,19.30088,-99.25503,1,Postes_C5
13283,LA CONCEPCION,LA MAGDALENA CONTRERAS,19.30091,-99.23353,1,Postes_C5
13284,LA CRUZ,LA MAGDALENA CONTRERAS,19.30880,-99.23716,1,Postes_C5
13285,SAN FRANCISCO 2416,LA MAGDALENA CONTRERAS,19.31158,-99.23472,1,Postes_C5
13286,LA MALINCHE,LA MAGDALENA CONTRERAS,19.32480,-99.24376,1,Postes_C5
13287,LA MALINCHE,LA MAGDALENA CONTRERAS,19.32578,-99.24458,1,Postes_C5
13288,LA MALINCHE,LA MAGDALENA CONTRERAS,19.32160,-99.24236,1,Postes_C5
13289,PALMAS,LA MAGDALENA CONTRERAS,19.31252,-99.25067,1,Postes_C5
13290,EL TORO,LA MAGDALENA CONTRERAS,19.31301,-99.24359,1,Postes_C5
13291,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.31632,-99.23921,1,Postes_C5
13292,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.31366,-99.24205,1,Postes_C5
13293,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.31535,-99.24149,1,Postes_C5
13294,LOS PADRES,LA MAGDALENA CONTRERAS,19.32253,-99.24715,1,Postes_C5
13295,SAN NICOLAS TOTOLAPAN 2480,LA MAGDALENA CONTRERAS,19.30099,-99.24047,1,Postes_C5
13296,SAN NICOLAS TOTOLAPAN 2480,LA MAGDALENA CONTRERAS,19.30160,-99.23815,1,Postes_C5
13297,LA CONCEPCION,LA MAGDALENA CONTRERAS,19.30383,-99.23317,1,Postes_C5
13298,LAS CRUCES,LA MAGDALENA CONTRERAS,19.31913,-99.25566,1,Postes_C5
13299,LA MAGDALENA,LA MAGDALENA CONTRERAS,19.30438,-99.24388,1,Postes_C5
13300,LA MAGDALENA,LA MAGDALENA CONTRERAS,19.30376,-99.24537,1,Postes_C5
